Field,Group,Albania,Czech+Republic,Denmark,Austria,Croatia,Bulgaria,Estonia,Andorra,Belgium,Bosnia+And+Herzegovina,Finland,France,Germany,Hungary,Greece,Australia,Iceland,Ireland,Liechtenstein,Latvia,Italy,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,New+Zealand,Netherlands,North+Macedonia,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,United+Kingdom
Currency_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curency,Currency_info,Lek,Kč,kr,€,kn,лв,€,€,€,KM,€,€,€,Ft,€,A$,kr,€,Fr.,€,€,€,€,€,L,€,€,NZ$,€,ден,kr,zł,€,lei,Дин,€,€,€,kr,Fr.,£
Cinema,Leisure,700,180,110,11,40,12,8,7,11,7,14,10,12,1990,8,18,1700,11,18,7.7,8.5,7.5,12,9,100,12.5,5,17,12,250,130,25,7,30,500,7,6.6,8,130,18,10
Preschool_for_1_Child,Childcare,14881.72,8442.19,2993.07,319.95,866.81,599.92,153.01,523.33,508.05,251.66,302.89,600.88,324.29,86959.88,309.98,2011.02,37950.5,925.51,225,305.75,434.43,403.75,1242.67,377.14,4930.5,2500,173.24,1112,1458.72,6762.36,3242.08,1153.64,338.88,1716.23,20181.92,376.95,378.53,358.3,1366.76,2286.3,957.3
International_Primary_School_Yearly_1_Child,Childcare,303339.16,170709.39,42203.04,7601.07,34351.88,9016.88,8736.67,8650,17822.5,4273.01,6714.21,9876.35,12096.5,2168292.68,6064.31,17196.64,737333.33,7809.5,12240,14329.82,9645.85,6977.09,14723.08,7918.33,46448.99,28000,6428.57,16982.76,6881.72,141600,51423.4,22618.54,7113.79,26569.73,546480.31,7000,8337.5,7036.27,14087.22,26410.34,12972.43
Clothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeans,Clothing,4721.79,1970.85,687.98,87.09,546.25,100.74,73.07,68.33,87.46,107.48,83.78,80.15,76.96,22571.06,69.26,99.75,15539.2,73.79,88.26,54.5,74.41,68.36,87.86,69.02,996.6,97.5,56.05,105.84,80.75,2693.54,853.9,295.01,74.15,279.56,6077.84,53.31,67.41,72.67,836.41,103.15,59.76
Summer_Dress,Clothing,3559.93,855.95,288.34,33.81,236.97,51.16,28.6,38.33,38.19,58.2,37.02,34.98,36.2,10187.58,30.88,59.09,7799.5,33.66,42.04,35.63,31.38,32.2,39.08,36.4,609.54,40.67,28.53,61.7,35.65,1736.14,406.29,141.48,29.06,161.31,3158.04,30.2,30.62,28.7,347.28,47.54,29.58
Running_Shoes,Clothing,8286.37,1812.31,694.76,85.7,522.99,129.3,69.03,78.75,83.75,134.32,79.76,83.02,80.54,25480.77,71.53,138.01,20855.22,77.79,98.55,61.33,80.31,73,97.5,81.14,1480.35,118.33,68.64,146.82,85.09,3976.49,973.8,287.12,66.81,327.63,8936.56,62.81,71.48,67.75,868.3,112.04,63.03
1_Men_Leather_Business_Shoes,Clothing,9090.29,2158.26,976.92,104.95,617.06,149.01,92.01,92.5,112.27,155.24,118.27,109.8,105.9,25667.09,86.96,143.63,25469.5,84.97,140.4,91.55,105.48,90,138.85,90.81,1615.86,397.67,86.45,174.55,110.24,4332.86,1275.07,323.1,73.74,371.96,8895.58,72.34,85.43,85.69,1200.82,148,62.44
Rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment_1_bed_CityCentre,Rent,35915.55,15524.87,7075.14,721.92,3068.69,666,488.1,727.79,801.53,373.81,820.14,806.91,877.37,143501.98,395.13,1914.08,180000,1480.62,1222.44,319.2,701.19,502.09,1582.14,819.41,5145.54,5214.29,320.52,1630.76,1201.18,11014.7,10483.33,2294.49,689.5,1709.22,29621.83,468.93,473.52,755.74,8840.18,1655.39,917.77
